open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base,taker_quote,ignore
2022-01-01 00:00:00,46216.93,46527.26,46208.37,46332.51,386.65709,1640996099999,17922004.47589510,11104,210.58102000,9758565.06484310,0
2022-01-01 00:15:00,46332.52,46421.27,46236.27,46375.42,319.99973,1640996999999,14829190.15504720,8570,177.86840000,8241798.85660390,0
2022-01-01 00:30:00,46375.42,46689.42,46360.19,46610.81,386.08077,1640997899999,17967322.80223380,9931,209.23388000,9737367.15852610,0
2022-01-01 00:45:00,46610.81,46731.39,46575.76,46656.13,410.59336,1640998799999,19161468.95732320,9003,208.38206000,9724425.83767090,0
2022-01-01 01:00:00,46656.14,46767.24,46574.06,46766.99,330.08774,1640999699999,15396644.65036830,8666,189.60913000,8843542.84503320,0
2022-01-01 01:15:00,46766.99,46949.99,46752.17,46815.33,259.42027,1641000599999,12153334.76503870,10264,143.03103000,6700356.31392590,0
2022-01-01 01:30:00,46815.34,46884.63,46748.05,46768.1,180.18171,1641001499999,8432656.84549370,6597,79.47185000,3720281.53496120,0
2022-01-01 01:45:00,46768.11,46861.47,46711.9,46778.14,174.12567,1641002399999,8144511.85670150,6345,79.06866000,3699092.16145390,0
2022-01-01 02:00:00,46778.14,46867.75,46769.95,46845.97,121.88714,1641003299999,5706737.81592070,6578,57.36843000,2686019.13500240,0
2022-01-01 02:15:00,46845.98,46928.94,46826.0,46826.01,151.63112,1641004199999,7109365.63758940,6816,59.33071000,2781476.37278020,0
2022-01-01 02:30:00,46826.0,46826.01,46721.96,46775.91,118.53757,1641005099999,5545588.23358180,6140,52.05404000,2435050.93459870,0
2022-01-01 02:45:00,46775.9,46860.39,46773.93,46811.77,93.11277,1641005999999,4358978.73210820,4830,37.59795000,1760060.62351440,0
2022-01-01 03:00:00,46811.77,46851.56,46760.12,46826.1,78.24895,1641006899999,3662992.12347730,4673,45.75643000,2141932.65460260,0
2022-01-01 03:15:00,46826.11,46916.63,46777.0,46809.15,218.66839,1641007799999,10241893.46859400,5581,96.96800000,4542206.89846960,0
2022-01-01 03:30:00,46809.16,46900.0,46809.15,46867.98,132.30528,1641008699999,6198025.06774090,4961,64.83173000,3037335.24454180,0
2022-01-01 03:45:00,46867.98,46898.99,46813.2,46813.2,133.66709,1641009599999,6260349.80355070,4667,40.72596000,1907901.59934630,0
2022-01-01 04:00:00,46813.21,46887.33,46630.23,46648.04,264.47177,1641010499999,12367346.71992000,7443,94.54512000,4420843.19686580,0
2022-01-01 04:15:00,46648.04,46720.13,46591.23,46708.14,199.9158,1641011399999,9329993.05348820,5745,97.11988000,4532666.25251140,0
2022-01-01 04:30:00,46708.13,46783.76,46639.18,46734.52,248.42884,1641012299999,11600245.08435200,5088,124.24582000,5802048.70625390,0
2022-01-01 04:45:00,46734.52,46842.98,46708.0,46711.05,149.06748,1641013199999,6974458.88062740,5081,81.62481000,3819844.10347900,0
2022-01-01 05:00:00,46711.05,46780.0,46673.94,46780.0,103.53838,1641014099999,4836504.54139480,5049,59.18169000,2764552.04124420,0
2022-01-01 05:15:00,46780.0,47500.0,46762.63,47379.13,689.54354,1641014999999,32573985.97937040,18135,412.40436000,19476865.30253510,0
2022-01-01 05:30:00,47379.13,47555.55,47226.39,47300.0,407.37499,1641015899999,19320773.02009320,11377,217.95422000,10333964.93203100,0
2022-01-01 05:45:00,47300.01,47314.47,47135.3,47192.55,200.27951,1641016799999,9457042.41536860,6870,87.24605000,4119939.41345640,0
2022-01-01 06:00:00,47192.56,47324.42,47089.43,47307.04,169.14727,1641017699999,7983944.00519070,7051,82.36390000,3887882.58053330,0
2022-01-01 06:15:00,47307.03,47307.04,47119.37,47130.36,98.75754,1641018599999,4659582.27322300,5284,46.44220000,2191311.69019680,0
2022-01-01 06:30:00,47130.37,47197.32,47112.91,47158.02,86.74539,1641019499999,4090579.32454620,5248,40.63312000,1915940.51294110,0
2022-01-01 06:45:00,47158.02,47235.49,46940.0,46979.62,259.32756,1641020399999,12207385.96267980,7613,130.00175000,6120934.59986850,0
2022-01-01 07:00:00,46979.61,47044.26,46864.84,46990.23,175.37744,1641021299999,8235826.62501550,6861,68.09440000,3197890.91688120,0
2022-01-01 07:15:00,46990.23,47052.98,46948.41,46959.61,119.88006,1641022199999,5633546.68683590,5072,61.36363000,2883735.75576380,0
2022-01-01 07:30:00,46959.61,47122.91,46945.77,47096.7,132.61288,1641023099999,6236472.50917390,6215,62.12589000,2921657.74673640,0
2022-01-01 07:45:00,47096.69,47255.85,47073.12,47194.73,218.33043,1641023999999,10294019.81157340,7018,99.09979000,4673001.16886930,0
2022-01-01 08:00:00,47194.73,47228.86,47075.11,47151.37,131.91374,1641024899999,6217179.00620380,6435,65.78582000,3100686.05779500,0
2022-01-01 08:15:00,47151.37,47344.69,47145.05,47305.23,183.98417,1641025799999,8695377.37827800,7480,103.06695000,4870643.15828240,0
2022-01-01 08:30:00,47305.23,47313.91,47166.97,47210.18,109.50519,1641026699999,5171343.15474370,5056,58.87368000,2780203.73617680,0
2022-01-01 08:45:00,47210.18,47260.0,47081.74,47124.82,107.04457,1641027599999,5048359.37866890,5441,49.36804000,2328505.89457330,0
2022-01-01 09:00:00,47124.82,47215.56,47062.77,47205.77,127.12603,1641028499999,5994357.18607860,6212,62.69216000,2956230.73782210,0
2022-01-01 09:15:00,47205.77,47205.78,47082.06,47094.74,85.76911,1641029399999,4042575.59807160,5530,40.99702000,1932118.95674240,0
2022-01-01 09:30:00,47094.74,47126.85,46933.58,46988.47,221.1526,1641030299999,10397567.72909130,7934,99.72953000,4688439.78983670,0
2022-01-01 09:45:00,46988.46,47143.99,46947.43,47143.98,107.27717,1641031199999,5046013.87115200,5689,51.22560000,2410172.03988930,0
2022-01-01 10:00:00,47143.98,47298.75,47111.11,47111.12,128.77257,1641032099999,6078764.85357170,6717,61.40941000,2898881.64726520,0
2022-01-01 10:15:00,47111.11,47111.12,46812.99,46874.25,285.13532,1641032999999,13389001.63861510,9053,122.85676000,5769493.35535140,0
2022-01-01 10:30:00,46874.26,47017.95,46715.39,46979.5,366.49823,1641033899999,17157753.84571860,10778,195.99761000,9176336.51264240,0
2022-01-01 10:45:00,46979.5,47081.02,46868.71,46871.08,142.61148,1641034799999,6697108.88980570,5992,68.11387000,3198862.14549090,0
2022-01-01 11:00:00,46871.09,46960.39,46862.41,46925.19,164.2469,1641035699999,7702597.06756800,7526,68.22722000,3199766.21084660,0
2022-01-01 11:15:00,46925.2,47007.73,46898.97,46956.77,171.41749,1641036599999,8049608.91005130,6239,87.65189000,4116258.17374450,0
2022-01-01 11:30:00,46956.78,46994.24,46819.9,46946.36,218.58084,1641037499999,10251925.11579000,6462,97.45345000,4570674.25163650,0
